name,alg,sol,time,opt,diff,oopt,odiff
N1W1B1R0,GA,21,3,18,3,21,0
N1W1B1R1,GA,21,3,18,3,21,0
N1W1B1R2,GA,21,3,19,2,22,1
N1W1B1R3,GA,21,3,18,3,21,0
N1W1B1R4,GA,19,3,17,2,20,1
N1W1B1R5,GA,18,3,17,1,20,2
N1W1B1R6,GA,20,3,17,3,20,0
N1W1B1R7,GA,19,5,17,2,20,1
N1W1B1R8,GA,20,4,18,2,21,1
N1W1B1R9,GA,19,4,17,2,20,1
