name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N1C3W1_J,GA,20,4,16,4,19,-1
N1C3W1_K,GA,20,5,17,3,20,0
N1C3W1_L,GA,20,5,17,3,20,0
N1C3W1_M,GA,20,5,17,3,20,0
N1C3W1_N,GA,25,6,20,5,24,-1
N1C3W1_O,GA,19,3,16,3,19,0
N1C3W1_P,GA,23,6,19,4,22,-1
N1C3W1_Q,GA,27,5,20,7,24,-3
N1C3W1_R,GA,27,5,21,6,25,-2
N1C3W1_S,GA,20,4,16,4,19,-1
N1C3W1_T,GA,22,5,18,4,21,-1
N1C3W2_A,GA,23,5,19,4,22,-1
N1C3W2_B,GA,26,5,20,6,24,-2
N1C3W2_C,GA,27,6,22,5,26,-1
N1C3W2_D,GA,24,5,20,4,24,0
N1C3W2_E,GA,27,5,21,6,25,-2
N1C3W2_F,GA,29,4,23,6,27,-2
N1C3W2_G,GA,30,4,23,7,27,-3
N1C3W2_H,GA,28,4,23,5,27,-1
N1C3W2_I,GA,24,5,19,5,22,-2
N1C3W2_J,GA,27,5,22,5,26,-1
N1C3W2_K,GA,27,6,21,6,25,-2
N1C3W2_L,GA,27,5,21,6,25,-2
N1C3W2_M,GA,25,5,21,4,25,0
N1C3W2_N,GA,28,5,22,6,26,-2
N1C3W2_O,GA,24,5,21,3,25,1
N1C3W2_P,GA,21,5,18,3,21,0
N1C3W2_Q,GA,23,5,19,4,22,-1
N1C3W2_R,GA,23,3,19,4,22,-1
N1C3W2_S,GA,26,4,21,5,25,-1
N1C3W2_T,GA,27,4,22,5,26,-1
N1C3W4_A,GA,25,4,21,4,25,0
N1C3W4_B,GA,29,4,22,7,26,-3
N1C3W4_C,GA,31,7,24,7,28,-3
N1C3W4_D,GA,27,5,21,6,25,-2
N1C3W4_E,GA,27,4,23,4,27,0
N1C3W4_F,GA,26,4,21,5,25,-1
N1C3W4_G,GA,30,4,23,7,27,-3
N1C3W4_H,GA,29,6,23,6,27,-2
N1C3W4_I,GA,30,6,23,7,27,-3
N1C3W4_J,GA,26,5,22,4,26,0
N1C3W4_K,GA,29,5,24,5,28,-1
N1C3W4_L,GA,25,4,20,5,24,-1
N1C3W4_M,GA,25,4,21,4,25,0
N1C3W4_N,GA,25,6,21,4,25,0
N1C3W4_O,GA,28,4,22,6,26,-2
N1C3W4_P,GA,31,4,25,6,30,-1
N1C3W4_Q,GA,31,7,25,6,30,-1
N1C3W4_R,GA,27,5,22,5,26,-1
N1C3W4_S,GA,27,5,22,5,26,-1
N1C3W4_T,GA,31,7,24,7,28,-3
N2C1W1_A,GA,60,12,48,12,57,-3
N2C1W1_B,GA,64,12,49,15,58,-6
N2C1W1_C,GA,57,10,46,11,54,-3
N2C1W1_D,GA,64,11,50,14,59,-5
N2C1W1_E,GA,70,13,58,12,69,-1
N2C1W1_F,GA,61,11,50,11,59,-2
N2C1W1_G,GA,71,14,60,11,71,0
N2C1W1_H,GA,64,13,52,12,62,-2
N2C1W1_I,GA,75,14,62,13,73,-2
N2C1W1_J,GA,67,13,59,8,70,3
N2C1W1_K,GA,70,13,55,15,65,-5
N2C1W1_L,GA,67,13,55,12,65,-2
N2C1W1_M,GA,60,11,46,14,54,-6
N2C1W1_N,GA,63,12,48,15,57,-6
N2C1W1_O,GA,58,12,48,10,57,-1
N2C1W1_P,GA,68,14,54,14,64,-4
N2C1W1_Q,GA,58,11,46,12,54,-4
N2C1W1_R,GA,70,14,56,14,66,-4
N2C1W1_S,GA,58,10,45,13,53,-5
N2C1W1_T,GA,64,13,52,12,62,-2
N2C1W2_A,GA,79,11,64,15,76,-3
N2C1W2_B,GA,72,12,61,11,72,0
N2C1W2_C,GA,80,11,68,12,80,0
N2C1W2_D,GA,86,14,74,12,88,2
N2C1W2_E,GA,80,12,65,15,77,-3
N2C1W2_F,GA,76,12,65,11,77,1
N2C1W2_G,GA,82,17,73,9,86,4
N2C1W2_H,GA,80,14,70,10,83,3
N2C1W2_I,GA,80,16,67,13,79,-1
N2C1W2_J,GA,80,16,67,13,79,-1
N2C1W2_K,GA,86,16,72,14,85,-1
N2C1W2_L,GA,78,12,62,16,73,-5
N2C1W2_M,GA,81,12,65,16,77,-4
N2C1W2_N,GA,80,15,64,16,76,-4
N2C1W2_O,GA,76,15,64,12,76,0
N2C1W2_P,GA,80,15,68,12,80,0
N2C1W2_Q,GA,80,15,65,15,77,-3
N2C1W2_R,GA,84,12,67,17,79,-5
N2C1W2_S,GA,79,12,66,13,78,-1
N2C1W2_T,GA,76,15,66,10,78,2
N2C1W4_A,GA,88,16,73,15,86,-2
N2C1W4_B,GA,83,16,71,12,84,1
N2C1W4_C,GA,87,15,77,10,91,4
N2C1W4_D,GA,90,17,82,8,97,7
N2C1W4_E,GA,83,17,73,10,86,3
N2C1W4_F,GA,87,16,77,10,91,4
N2C1W4_G,GA,83,16,71,12,84,1
N2C1W4_H,GA,86,17,75,11,89,3
N2C1W4_I,GA,86,12,73,13,86,0
N2C1W4_J,GA,90,12,74,16,88,-2
N2C1W4_K,GA,84,16,70,14,83,-1
N2C1W4_L,GA,89,17,75,14,89,0
N2C1W4_M,GA,87,14,72,15,85,-2
N2C1W4_N,GA,85,16,71,14,84,-1
N2C1W4_O,GA,88,12,80,8,95,7
N2C1W4_P,GA,78,12,67,11,79,1
N2C1W4_Q,GA,86,12,75,11,89,3
N2C1W4_R,GA,87,12,70,17,83,-4
N2C1W4_S,GA,92,12,80,12,95,3
N2C1W4_T,GA,84,12,70,14,83,-1
N2C2W1_A,GA,52,11,42,10,50,-2
N2C2W1_B,GA,61,11,50,11,59,-2
N2C2W1_C,GA,51,10,40,11,47,-4
N2C2W1_D,GA,54,10,42,12,50,-4
N2C2W1_E,GA,52,10,40,12,47,-5
N2C2W1_F,GA,60,11,49,11,58,-2
N2C2W1_G,GA,59,11,45,14,53,-6
N2C2W1_H,GA,56,11,46,10,54,-2
N2C2W1_I,GA,58,8,45,13,53,-5
N2C2W1_J,GA,54,8,42,12,50,-4
N2C2W1_K,GA,54,8,41,13,49,-5
