name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N1W1B1R0,GA,21,3,18,3,21,0
N1W1B1R1,GA,21,3,18,3,21,0
N1W1B1R2,GA,21,3,19,2,22,1
N1W1B1R3,GA,21,3,18,3,21,0
N1W1B1R4,GA,19,3,17,2,20,1
N1W1B1R5,GA,18,3,17,1,20,2
N1W1B1R6,GA,20,3,17,3,20,0
N1W1B1R7,GA,19,5,17,2,20,1
N1W1B1R8,GA,20,4,18,2,21,1
N1W1B1R9,GA,19,4,17,2,20,1
N1W1B2R0,GA,20,4,17,3,20,0
N1W1B2R1,GA,20,4,17,3,20,0
N1W1B2R2,GA,20,4,17,3,20,0
N1W1B2R3,GA,18,6,16,2,19,1
N1W1B2R4,GA,19,3,17,2,20,1
N1W1B2R5,GA,20,3,17,3,20,0
N1W1B2R6,GA,20,3,17,3,20,0
N1W1B2R7,GA,19,3,18,1,21,2
N1W1B2R8,GA,19,4,16,3,19,0
N1W1B2R9,GA,20,4,18,2,21,1
N1W1B3R0,GA,19,5,17,2,20,1
N1W1B3R1,GA,23,3,17,6,20,-3
N1W1B3R2,GA,18,3,15,3,18,0
N1W1B3R3,GA,19,3,16,3,19,0
N1W1B3R4,GA,21,5,19,2,22,1
N1W1B3R5,GA,18,5,16,2,19,1
N1W1B3R6,GA,19,4,16,3,19,0
N1W1B3R7,GA,21,5,18,3,21,0
N1W1B3R8,GA,18,4,16,2,19,1
N1W1B3R9,GA,20,4,17,3,20,0
N1W2B1R0,GA,12,3,11,1,13,1
N1W2B1R1,GA,11,3,11,0,13,2
N1W2B1R2,GA,11,3,11,0,13,2
N1W2B1R3,GA,12,3,11,1,13,1
N1W2B1R4,GA,12,3,11,1,13,1
N1W2B1R5,GA,11,3,10,1,12,1
N1W2B1R6,GA,11,3,11,0,13,2
N1W2B1R7,GA,11,3,11,0,13,2
N1W2B1R8,GA,11,3,10,1,12,1
N1W2B1R9,GA,11,2,11,0,13,2
N1W2B2R0,GA,11,3,10,1,12,1
N1W2B2R1,GA,12,3,11,1,13,1
N1W2B2R2,GA,10,3,10,0,12,2
N1W2B2R3,GA,11,3,11,0,13,2
N1W2B2R4,GA,11,3,10,1,12,1
N1W2B2R5,GA,11,3,10,1,12,1
N1W2B2R6,GA,11,3,10,1,12,1
N1W2B2R7,GA,11,3,10,1,12,1
N1W2B2R8,GA,12,3,11,1,13,1
N1W2B2R9,GA,11,3,11,0,13,2
N1W2B3R0,GA,11,3,10,1,12,1
N1W2B3R1,GA,12,3,11,1,13,1
N1W2B3R2,GA,11,3,10,1,12,1
N1W2B3R3,GA,11,3,11,0,13,2
N1W2B3R4,GA,10,3,10,0,12,2
N1W2B3R5,GA,11,2,10,1,12,1
N1W2B3R6,GA,11,3,11,0,13,2
N1W2B3R7,GA,11,3,10,1,12,1
N1W2B3R8,GA,12,3,11,1,13,1
N1W2B3R9,GA,11,3,10,1,12,1
N1W3B1R0,GA,8,2,7,1,8,0
N1W3B1R1,GA,8,2,8,0,9,1
N1W3B1R2,GA,8,2,7,1,8,0
N1W3B1R3,GA,8,2,8,0,9,1
N1W3B1R4,GA,8,2,8,0,9,1
N1W3B1R5,GA,8,2,8,0,9,1
N1W3B1R6,GA,8,2,8,0,9,1
N1W3B1R7,GA,8,2,8,0,9,1
N1W3B1R8,GA,8,2,7,1,8,0
N1W3B1R9,GA,8,2,8,0,9,1
N1W3B2R0,GA,8,2,8,0,9,1
N1W3B2R1,GA,8,2,8,0,9,1
N1W3B2R2,GA,8,2,8,0,9,1
N1W3B2R3,GA,8,1,7,1,8,0
N1W3B2R4,GA,7,2,7,0,8,1
N1W3B2R5,GA,7,1,7,0,8,1
N1W3B2R6,GA,8,1,8,0,9,1
N1W3B2R7,GA,8,2,8,0,9,1
N1W3B2R8,GA,8,1,8,0,9,1
N1W3B2R9,GA,8,1,8,0,9,1
N1W3B3R0,GA,8,2,7,1,8,0
N1W3B3R1,GA,8,2,8,0,9,1
N1W3B3R2,GA,8,2,7,1,8,0
N1W3B3R3,GA,8,2,8,0,9,1
N1W3B3R4,GA,8,2,8,0,9,1
N1W3B3R5,GA,7,2,7,0,8,1
N1W3B3R6,GA,8,2,7,1,8,0
N1W3B3R7,GA,8,3,8,0,9,1
N1W3B3R8,GA,7,2,7,0,8,1
N1W3B3R9,GA,8,2,7,1,8,0
N1W4B1R0,GA,6,2,6,0,7,1
N1W4B1R1,GA,6,2,6,0,7,1
N1W4B1R2,GA,6,2,6,0,7,1
N1W4B1R3,GA,6,2,6,0,7,1
N1W4B1R4,GA,6,1,6,0,7,1
N1W4B1R5,GA,6,1,6,0,7,1
N1W4B1R6,GA,6,2,6,0,7,1
N1W4B1R7,GA,6,2,6,0,7,1
N1W4B1R8,GA,6,1,6,0,7,1
N1W4B1R9,GA,6,2,6,0,7,1
N1W4B2R0,GA,6,2,6,0,7,1
N1W4B2R1,GA,6,2,6,0,7,1
N1W4B2R2,GA,6,1,6,0,7,1
N1W4B2R3,GA,6,2,6,0,7,1
N1W4B2R4,GA,6,2,6,0,7,1
N1W4B2R5,GA,6,3,6,0,7,1
N1W4B2R6,GA,6,2,6,0,7,1
N1W4B2R7,GA,6,2,6,0,7,1
N1W4B2R8,GA,7,2,6,1,7,0
N1W4B2R9,GA,6,2,6,0,7,1
N1W4B3R0,GA,6,2,6,0,7,1
N1W4B3R1,GA,6,1,6,0,7,1
N1W4B3R2,GA,7,1,7,0,8,1
N1W4B3R3,GA,6,2,6,0,7,1
N1W4B3R4,GA,6,2,6,0,7,1
N1W4B3R5,GA,7,1,7,0,8,1
N1W4B3R6,GA,6,2,6,0,7,1
N1W4B3R7,GA,6,2,6,0,7,1
N1W4B3R8,GA,6,2,6,0,7,1
N1W4B3R9,GA,7,2,6,1,7,0
N2W1B1R0,GA,41,9,34,7,40,-1
N2W1B1R1,GA,41,9,34,7,40,-1
N2W1B1R2,GA,39,6,34,5,40,1
N2W1B1R3,GA,40,6,34,6,40,0
N2W1B1R4,GA,40,6,34,6,40,0
N2W1B1R5,GA,37,6,34,3,40,3
N2W1B1R6,GA,40,6,34,6,40,0
N2W1B1R7,GA,40,9,34,6,40,0
N2W1B1R8,GA,40,8,34,6,40,0
N2W1B1R9,GA,41,8,34,7,40,-1
N2W1B2R0,GA,42,8,36,6,43,1
N2W1B2R1,GA,39,8,33,6,39,0
N2W1B2R2,GA,41,9,35,6,41,0
N2W1B2R3,GA,41,7,35,6,41,0
N2W1B2R4,GA,38,6,33,5,39,1
N2W1B2R5,GA,42,9,34,8,40,-2
N2W1B2R6,GA,40,8,35,5,41,1
N2W1B2R7,GA,38,9,33,5,39,1
N2W1B2R8,GA,41,8,34,7,40,-1
N2W1B2R9,GA,39,8,33,6,39,0
N2W1B3R0,GA,43,10,35,8,41,-2
N2W1B3R1,GA,39,9,32,7,38,-1
N2W1B3R2,GA,44,9,35,9,41,-3
N2W1B3R3,GA,41,8,33,8,39,-2
N2W1B3R4,GA,43,8,34,9,40,-3
N2W1B3R5,GA,42,8,34,8,40,-2
N2W1B3R6,GA,38,8,31,7,37,-1
N2W1B3R7,GA,36,9,30,6,36,0
N2W1B3R8,GA,42,10,34,8,40,-2
N2W1B3R9,GA,36,7,29,7,34,-2
N2W2B1R0,GA,22,4,20,2,24,2
N2W2B1R1,GA,22,6,20,2,24,2
N2W2B1R2,GA,22,4,21,1,25,3
N2W2B1R3,GA,23,5,21,2,25,2
N2W2B1R4,GA,23,5,21,2,25,2
N2W2B1R5,GA,23,5,21,2,25,2
N2W2B1R6,GA,23,6,21,2,25,2
N2W2B1R7,GA,23,6,21,2,25,2
N2W2B1R8,GA,23,6,21,2,25,2
N2W2B1R9,GA,22,5,20,2,24,2
N2W2B2R0,GA,23,5,21,2,25,2
N2W2B2R1,GA,22,6,21,1,25,3
N2W2B2R2,GA,22,6,21,1,25,3
N2W2B2R3,GA,24,6,22,2,26,2
N2W2B2R4,GA,24,6,22,2,26,2
N2W2B2R5,GA,22,4,20,2,24,2
N2W2B2R6,GA,22,4,21,1,25,3
N2W2B2R7,GA,22,6,20,2,24,2
N2W2B2R8,GA,22,6,21,1,25,3
N2W2B2R9,GA,22,6,20,2,24,2
N2W2B3R0,GA,23,4,21,2,25,2
N2W2B3R1,GA,22,6,20,2,24,2
N2W2B3R2,GA,24,4,21,3,25,1
N2W2B3R3,GA,21,4,19,2,22,1
N2W2B3R4,GA,23,6,21,2,25,2
N2W2B3R5,GA,23,4,21,2,25,2
N2W2B3R6,GA,22,6,20,2,24,2
N2W2B3R7,GA,24,6,21,3,25,1
N2W2B3R8,GA,23,6,20,3,24,1
N2W2B3R9,GA,22,5,20,2,24,2
N2W3B1R0,GA,15,3,15,0,18,3
N2W3B1R1,GA,16,4,15,1,18,2
N2W3B1R2,GA,16,4,15,1,18,2
N2W3B1R3,GA,15,4,14,1,17,2
N2W3B1R4,GA,15,4,15,0,18,3
N2W3B1R5,GA,15,4,15,0,18,3
N2W3B1R6,GA,15,3,15,0,18,3
N2W3B1R7,GA,15,3,14,1,17,2
N2W3B1R8,GA,16,3,15,1,18,2
N2W3B1R9,GA,16,4,15,1,18,2
N2W3B2R0,GA,15,3,15,0,18,3
