name,alg,sol,time
EZ0,BF,3,0
EZ1,BF,3,0
EZ2,BF,3,0
EZ3,BF,2,1
EZ4,BF,2,1
EZ5,BF,3,0
EZ6,BF,3,1
EZ7,BF,2,24
EZ8,BF,5,1
EZ9,BF,2,323
